ID,Question (English),Options (English),Correct Answer,Question (Spanish),Options (Spanish)
1334,What type of authentication is recommended when creating a Snowflake service account that will connect to a third-party application?,"A. Username and password
B. Key-pair authentication
C. Multi-Factor Authentication (MFA)
D. Single Sign-on (SSO)",B,,
1335,Which type of query would benefit from enabling the query acceleration service on the virtual warehouse?,"A. Queries with no filters or aggregation
B. Queries that are queued in the warehouse
C. Queries that use more resources than the typical query
D. Queries that contain a high cardinality GROUP BY expression",D,,
1336,Which table function will return the output of a previously-run command?,"A. FLATTEN
B. QUERY_HISTORY
C. TASK_HISTORY
D. RESULT_SCAN",D,,
1337,How can a relational table be unloaded into a JSON file?,"A. Use the OBJECT_CONSTRUCT function in conjunction with the COPY INTO [location] command.
B. Use the COPY INTO [location] command with the file_format set as JSON.
C. Use the PUT command with the file_format set as JSON.
D. Use the GET command with the file_format set as JSON.",A,,
1338,When do Snowflake object owners lose their ability to make grant decisions?,"A. When the object owner has been granted a database role
B. When the object owner has been granted an account role
C. When the object is part of a managed access schema
D. When the object is part of a regular schema",C,,
1341,Which JSON paths are considered to be equivalent in Snowflake? (Choose two.),"A. src['customer']['EMAIL']
B. src['CUSTOMER']['Email']
C. SRC:Customer.Email
D. src:customer.email
E. SRC:customer.email","D,E",,
1343,What happens when a table or schema with a standard retention period is dropped?,"A. The object is immediately removed from the system.
B. The object is instantaneously moved to Fail-safe.
C. The object is retained but all associated data is immediately purged.
D. The object is retained for the data retention period.",D,,
1344,"When cloning tables, which INFORMATION_SCHEMA view will show different columns for owned storage and referenced storage?","A. DATABASE_STORAGE_USAGE_HISTORY
B. STAGE_STORAGE_USAGE_HISTORY
C. TABLE_STORAGE_METRICS
D. STORAGE_USAGE",C,,
1345,"Based on a review of a Query Profile, which scenarios will benefit the MOST from the use of a data clustering key? (Choose two.)","A. A column that appears most frequently in ORDER BY operations
B. A column that appears most frequently in WHERE operations
C. A column that appears most frequently in GROUP BY operations
D. A column that appears most frequently in AGGREGATE operations
E. A column that appears most frequently in JOIN operations",AB,,
1346,"When working with dimension tables that change frequently, what is the recommended way to manage costs?","A. Keep the Time Travel retention period for the dimension tables to 7 days or less.
B. Make the dimension tables transient with a retention period of 0 days, and backup the table daily to a permanent table. Delete all but the
latest backup.
C. Make the dimension tables transient and back-up the data daily into a permanent table using cloning.
D. Make the dimension tables permanent with a retention period of 7 days. Replicate the database to a secondary database once a week.",B,,
1347,What Snowflake privilege should be granted to allow a non-ACCOUNTADMIN access to billing information?,"A. OPERATE
B. MONITOR USAGE
C. OWNERSHIP
D. USAGE",B,,
1350,"What virtual warehouse feature or setting will reduce the performance impact when running larger-than-average queries, by offloading portions of the query processing work to shared compute resources?","A. Using a multi-cluster virtual warehouse
B. Using the query acceleration service
C. Using the search optimization service
D. Disabling auto-suspend",B,,
1351,"Which schema-level objects allow the user to periodically perform an action under specific conditions, based on data within Snowflake?","A. Alerts
B. External tables
C. Secure views
D. Materialized views",A,,
1352,Which privilege must be granted to show data categories in a Data Exchange?,"A. MONITOR PRIVILEGE
B. USAGE PRIVILEGE
C. OWNERSHIP PRIVILEGE
D. IMPORTED PRIVILEGES",D,,
